Date;Prestation;Code Barre;Contrat;Pays Expediteur;Destinataire;CP Destinataire;Ville Destinataire;Pays Destinataire;Reference;Nombre de colis;Poids;Prix;Supplement;Lot;Facture;Compte facturé;Libellé TVA;CB Initial;Reference 2;Reference 3
; SURCHARGE CARBURANT NAT. ;;;;;;;;;;;     710.81;;;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;GRANDE PHARMACIE DE MARSEILLE SELAS;13001;MARSEILLE                          ;FR                                 ;                    ;1;      0.300;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DES VOSGES               ;90000;BELFORT                            ;FR                                 ;                    ;1;      0.200;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE SONZOGNI                 ;54500;VANDOEUVRE LES NANCY               ;FR                                 ;                    ;1;      0.200;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE ECORCHON                 ;63800;COURNON D'AUVERGNE                 ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DES CORBIERES            ;11220;SAINT LAURENT DE LA CABRERIS       ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE TIGNOL SERGE             ;11400;CASTELNAUDARY                      ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE TALOBRE                  ;9200;SAINT GIRONS                       ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE GRAND VITROLLES          ;13127;VITROLLES                          ;FR                                 ;                    ;1;      0.280;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DES ACACIAS              ;59210;COUDEKERQUE BRANCHE                ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DU MARCHE                ;95200;SARCELLES                          ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DE LA PORTE DE SAINT CLOU;75016;PARIS                              ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE  DE LA PASSERELLE        ;94190;VILLENEUVE ST GEORGES              ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DE LA GARE               ;94290;VILLENEUVE LE ROI                  ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE FROIDEVAUX               ;91230;MONTGERON                          ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE LOYER SELAS              ;6400;CANNES                             ;FR                                 ;                    ;1;      0.420;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DU PETIT BOSQUET         ;13012;MARSEILLE                          ;FR                                 ;                    ;1;      0.320;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE CENTRALE LEGO            ;68100;MULHOUSE                           ;FR                                 ;                    ;1;      0.300;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE KUENTZ                   ;90000;BELFORT                            ;FR                                 ;                    ;1;      0.250;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE PENIN -MAILLARBAUX       ;90000;BELFORT                            ;FR                                 ;                    ;1;      0.280;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE ROBERT PASCAL            ;25200;BETHONCOURT                        ;FR                                 ;                    ;1;      0.400;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE FOURIE                   ;30540;MILHAUD                            ;FR                                 ;                    ;1;      0.420;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE PEZAC FABIEN             ;33620;LARUSCADE                          ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE SENESCAL ARNAUD          ;33185;LE HAILLAN                         ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE LEYSSALES SELARL         ;24220;SAINT CYPRIEN                      ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DU PRADO                 ;13006;MARSEILLE                          ;FR                                 ;                    ;1;      0.400;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE VIREMOT                  ;43390;AUZON                              ;FR                                 ;                    ;1;      0.380;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE BONNET MONTGAILLARD      ;34470;PEROLS                             ;FR                                 ;                    ;1;      0.280;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DE PLAN DE CAMPAGNE      ;13170;LES PENNES MIRABEAU                ;FR                                 ;                    ;1;      0.340;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE CENTRALE                 ;13120;GARDANNE                           ;FR                                 ;                    ;1;      0.340;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE MODERNE                  ;24210;THENON                             ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE ALPHONSE DAUDET          ;30600;VAUVERT                            ;FR                                 ;                    ;1;      0.320;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
01/04/2020;H12;3,75216E+12;1;FR                                 ;PHARMACIE DU COURS                 ;34120;PEZENAS                            ;FR                                 ;                    ;1;      0.660;       3.80;CSU                ;  ;20/04/00784;3752;TVA 20.0%;;;
